Ticker,Name,Date,Close
TWTR,Twitter Inc,1/2/2020 16:00,32.3
TWTR,Twitter Inc,1/3/2020 16:00,31.52
TWTR,Twitter Inc,1/6/2020 16:00,31.64
TWTR,Twitter Inc,1/7/2020 16:00,32.54
TWTR,Twitter Inc,1/8/2020 16:00,33.05
TWTR,Twitter Inc,1/9/2020 16:00,33.22
TWTR,Twitter Inc,1/10/2020 16:00,32.78
TWTR,Twitter Inc,1/13/2020 16:00,32.69
TWTR,Twitter Inc,1/14/2020 16:00,32.82
TWTR,Twitter Inc,1/15/2020 16:00,33.23
TWTR,Twitter Inc,1/16/2020 16:00,34.19
TWTR,Twitter Inc,1/17/2020 16:00,34.22
TWTR,Twitter Inc,1/21/2020 16:00,34.09
TWTR,Twitter Inc,1/22/2020 16:00,34.02
TWTR,Twitter Inc,1/23/2020 16:00,33.89
TWTR,Twitter Inc,1/24/2020 16:00,33.19
TWTR,Twitter Inc,1/27/2020 16:00,32.78
TWTR,Twitter Inc,1/28/2020 16:00,33.42
TWTR,Twitter Inc,1/29/2020 16:00,33.63
TWTR,Twitter Inc,1/30/2020 16:00,33.22
TWTR,Twitter Inc,1/31/2020 16:00,32.48
TWTR,Twitter Inc,2/3/2020 16:00,33.07
TWTR,Twitter Inc,2/4/2020 16:00,33.96
TWTR,Twitter Inc,2/5/2020 16:00,33.39
TWTR,Twitter Inc,2/6/2020 16:00,38.41
TWTR,Twitter Inc,2/7/2020 16:00,37.03
TWTR,Twitter Inc,2/10/2020 16:00,35.96
TWTR,Twitter Inc,2/11/2020 16:00,35.65
TWTR,Twitter Inc,2/12/2020 16:00,36.79
TWTR,Twitter Inc,2/13/2020 16:00,37.16
TWTR,Twitter Inc,2/14/2020 16:00,36.91
TWTR,Twitter Inc,2/18/2020 16:00,38.06
TWTR,Twitter Inc,2/19/2020 16:00,38.77
TWTR,Twitter Inc,2/20/2020 16:00,39.05
TWTR,Twitter Inc,2/21/2020 16:00,38.31
TWTR,Twitter Inc,2/24/2020 16:00,35.89
TWTR,Twitter Inc,2/25/2020 16:00,35.21
TWTR,Twitter Inc,2/26/2020 16:00,34.63
TWTR,Twitter Inc,2/27/2020 16:00,33.01
TWTR,Twitter Inc,2/28/2020 16:00,33.2
TWTR,Twitter Inc,3/2/2020 16:00,35.82
TWTR,Twitter Inc,3/3/2020 16:00,34.93
TWTR,Twitter Inc,3/4/2020 16:00,36
TWTR,Twitter Inc,3/5/2020 16:00,34.97
TWTR,Twitter Inc,3/6/2020 16:00,33.46
TWTR,Twitter Inc,3/9/2020 16:00,32.46
TWTR,Twitter Inc,3/10/2020 16:00,34.31
TWTR,Twitter Inc,3/11/2020 16:00,31.3
TWTR,Twitter Inc,3/12/2020 16:00,26.78
TWTR,Twitter Inc,3/13/2020 16:00,29.29
TWTR,Twitter Inc,3/16/2020 16:00,24.04
TWTR,Twitter Inc,3/17/2020 16:00,24.48
TWTR,Twitter Inc,3/18/2020 16:00,22
TWTR,Twitter Inc,3/19/2020 16:00,24.13
TWTR,Twitter Inc,3/20/2020 16:00,23.95
TWTR,Twitter Inc,3/23/2020 16:00,24.69
TWTR,Twitter Inc,3/24/2020 16:00,25.85
TWTR,Twitter Inc,3/25/2020 16:00,25.97
TWTR,Twitter Inc,3/26/2020 16:00,26.41
TWTR,Twitter Inc,3/27/2020 16:00,25.29
TWTR,Twitter Inc,3/30/2020 16:00,25.59
TWTR,Twitter Inc,3/31/2020 16:00,24.56
TWTR,Twitter Inc,4/1/2020 16:00,23.32
TWTR,Twitter Inc,4/2/2020 16:00,23.02
TWTR,Twitter Inc,4/3/2020 16:00,23.09
TWTR,Twitter Inc,4/6/2020 16:00,24.93
TWTR,Twitter Inc,4/7/2020 16:00,25.61
TWTR,Twitter Inc,4/8/2020 16:00,27.86
TWTR,Twitter Inc,4/9/2020 16:00,27.77
TWTR,Twitter Inc,4/13/2020 16:00,27.21
TWTR,Twitter Inc,4/14/2020 16:00,27.94
TWTR,Twitter Inc,4/15/2020 16:00,27.51
TWTR,Twitter Inc,4/16/2020 16:00,26.55
TWTR,Twitter Inc,4/17/2020 16:00,26.7
TWTR,Twitter Inc,4/20/2020 16:00,27.01
TWTR,Twitter Inc,4/21/2020 16:00,25.75
TWTR,Twitter Inc,4/22/2020 16:00,28.44
TWTR,Twitter Inc,4/23/2020 16:00,27.86
TWTR,Twitter Inc,4/24/2020 16:00,28.74
TWTR,Twitter Inc,4/27/2020 16:00,30
TWTR,Twitter Inc,4/28/2020 16:00,28.79
TWTR,Twitter Inc,4/29/2020 16:00,31.09
TWTR,Twitter Inc,4/30/2020 16:00,28.68
TWTR,Twitter Inc,5/1/2020 16:00,27.84
TWTR,Twitter Inc,5/4/2020 16:00,28.23
TWTR,Twitter Inc,5/5/2020 16:00,28.07
TWTR,Twitter Inc,5/6/2020 16:00,27.68
TWTR,Twitter Inc,5/7/2020 16:00,28.77
TWTR,Twitter Inc,5/8/2020 16:00,29.93
TWTR,Twitter Inc,5/11/2020 16:00,29.69
TWTR,Twitter Inc,5/12/2020 16:00,29.15
TWTR,Twitter Inc,5/13/2020 16:00,28.13
TWTR,Twitter Inc,5/14/2020 16:00,28.56
TWTR,Twitter Inc,5/15/2020 16:00,29
TWTR,Twitter Inc,5/18/2020 16:00,29.64
TWTR,Twitter Inc,5/19/2020 16:00,29.88
TWTR,Twitter Inc,5/20/2020 16:00,32.23
TWTR,Twitter Inc,5/21/2020 16:00,32.34
TWTR,Twitter Inc,5/22/2020 16:00,32.62
TWTR,Twitter Inc,5/26/2020 16:00,34.01
TWTR,Twitter Inc,5/27/2020 16:00,33.07
TWTR,Twitter Inc,5/28/2020 16:00,31.6
TWTR,Twitter Inc,5/29/2020 16:00,30.97
TWTR,Twitter Inc,6/1/2020 16:00,31.89
TWTR,Twitter Inc,6/2/2020 16:00,32.26
TWTR,Twitter Inc,6/3/2020 16:00,34.88
TWTR,Twitter Inc,6/4/2020 16:00,33.72
TWTR,Twitter Inc,6/5/2020 16:00,34.87
TWTR,Twitter Inc,6/8/2020 16:00,36.64
TWTR,Twitter Inc,6/9/2020 16:00,35.92
TWTR,Twitter Inc,6/10/2020 16:00,35.14
TWTR,Twitter Inc,6/11/2020 16:00,33.03
TWTR,Twitter Inc,6/12/2020 16:00,33.4
TWTR,Twitter Inc,6/15/2020 16:00,34.11
TWTR,Twitter Inc,6/16/2020 16:00,34.63
TWTR,Twitter Inc,6/17/2020 16:00,34.34
TWTR,Twitter Inc,6/18/2020 16:00,34.03
TWTR,Twitter Inc,6/19/2020 16:00,33.41
TWTR,Twitter Inc,6/22/2020 16:00,33.47
TWTR,Twitter Inc,6/23/2020 16:00,32.91
TWTR,Twitter Inc,6/24/2020 16:00,31.73
TWTR,Twitter Inc,6/25/2020 16:00,31.37
TWTR,Twitter Inc,6/26/2020 16:00,29.05
TWTR,Twitter Inc,6/29/2020 16:00,29.49
TWTR,Twitter Inc,6/30/2020 16:00,29.79
TWTR,Twitter Inc,7/1/2020 16:00,30.81
TWTR,Twitter Inc,7/2/2020 16:00,30.87
TWTR,Twitter Inc,7/6/2020 16:00,32.34
TWTR,Twitter Inc,7/7/2020 16:00,32.99
TWTR,Twitter Inc,7/8/2020 16:00,35.41
